UF;município;código IBGE do município;nome do fundo;CNPJ;nome do estabelecimento;código CNES;CNPJ do estabelecimento;código da emenda parlamentar;valor por emenda;valor por parlamentar;valor;funcional programático;numero da proposta;numero da portaria;data
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
RS;;;;;;;;;;;;;;3722.;06/05/2024
AC;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
AP;;;;;;;;;;;;;;3724.;06/05/2024
ES;;;;;;;;;;;;;;3724.;06/05/2024
PR;;;;;;;;;;;;;;3724.;06/05/2024
PR;;;;;;;;;;;;;;3724.;06/05/2024
RJ;;;;;;;;;;;;;;3724.;06/05/2024
RN;;;;;;;;;;;;;;3724.;06/05/2024
RR;;;;;;;;;;;;;;3724.;06/05/2024
RR;;;;;;;;;;;;;;3724.;06/05/2024
SC;;;;;;;;;;;;;;3724.;06/05/2024
SP;;;;;;;;;;;;;;3724.;06/05/2024
SP;;;;;;;;;;;;;;3724.;06/05/2024
TOTAL;;;;;;;;;;;;;;3724.;06/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
